********************************************************************************
Field Output Report, written Wed Nov 11 14:26:13 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/80kPaNonLinear/80kPaNonLinear.odb
   Step: Step-Pressure
   Frame: Increment      8: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude
                          @Loc 1
---------------------------------
            1582              0.
            1600              0.
            1605              0.
            1609              0.
            1612              0.
            1616              0.
            1640     52.7011E-06
            1644     159.285E-06
            1647     159.098E-06
            1651     53.6091E-06
            1663     61.2280E-06
            1681     62.1360E-06
            3395         35.3385
            3399         35.3157
            3402         35.3380
            3406         35.3152
            3409         35.5062
            3413         35.4738
            3416         35.5064
            3420         35.4734
            3447         35.3060
            3454         35.3056
            3478         35.5336
            3485         35.5339
            5744              0.
            5745              0.
            6164     103.912E-06
            6168     29.0290E-06
            6172     29.6073E-06
            6176     106.168E-06
            9019         35.3178
            9023         35.3407
            9027         35.4763
            9031         35.5088
            9086         35.3458
            9087         35.4601
            9114         35.4486
            9115         35.3541
            9136         35.3634
            9137         35.4399
            9602         33.1891
            9718         28.4419
            9757     69.0654E-06
            9933         35.3391
           10035         24.1684
           10040         24.1766
           10342     77.4628E-06
           10349     149.913E-06
           10466         24.1768
           10468         24.1847
           10487         24.1732
           10916         15.3390
           10920         15.3393
           10925         15.3423
           10933         15.3453
           10935         15.3424
           10937         15.3444
           10939         15.3373
           10989         15.3300
           10991         15.3387
           11137         24.1797
           11368         35.3446
           11369         35.3481
           11956         24.1807
           12029     45.5840E-06
           12233         33.2056
           12238         33.1950
           12470         6.65123
           12534         1.79431
           12536         1.79383
           12538         1.79416
           12557         10.9271
           12560         10.9328
           12561         10.9275
           12562         10.9268
           12970         33.2139
           12971         33.2095
           13034         6.65763
           13035         6.66104
           13038         6.65134
           13039         6.64544
           13041         6.65046
           13147         33.2182
           13375         15.3420
           13387         15.3356
           13592     20.7536E-06
           13598     130.526E-06
           14200         19.7279
           14205         19.7218
           14214         19.7261
           14215         19.7319
           14216         19.7247
           14253         24.1682
           14283         28.4355
           14287         28.4482
           14288         28.4561
           14449         15.3452
           14551         28.4475
           14553         28.4501
           14567         28.4259
           14573         28.4412
           14575         28.4500
           14758         1.79451
           14770         1.79657
           14841         35.4750
           14844         35.4666
           14845         35.4679
           15032     34.5103E-06
           15053     135.759E-06
           15060     63.9434E-06
           15062     46.9447E-06
           15064              0.
           15081         24.1735
           15120         24.1460
           15749         19.7255
           15760         19.7341
           15765         19.7040
           15767         19.7100
           15883         35.4097
           16057         35.3586
           16068         35.3438
           16071         35.3541
           16275     116.337E-06
           16277     147.187E-06
           16459     38.3676E-06
           16463         10.9242
           16464         10.9186
           16466         10.9238
           16507     78.9959E-06
           16515     149.823E-06
           16635         1.79227
           16637         1.78534
           16643         1.79030
           16652         1.78862
           16655         1.80686
           16657         1.81285
           16948         35.4541
           17089         33.1762
           17199     133.487E-06
           17201     46.3078E-06
           17286         33.1951
           17287         33.2001
           17290         33.1671
           17298         33.1611
           17381     21.0424E-06
           17728         35.3496
           18261         35.3757
           18264         35.3709
           18806         15.3367
           18809         15.3185
           20533         35.3165
           20641         35.4360
           20719         35.3429
           22032         35.3824
           22240         35.4437
           23021         35.4322
           23381         33.2261
           23382         33.2184
           23384         33.2302
           24146         33.2122
           24150         33.2179
           24156         33.2354
           24161         33.1898
           24166         33.2080
           24168         33.2081
           25369         1.79180
           25370         1.78651
           25383         1.79357
           25417         6.65610
           25441         6.65020
           25444         6.63901
           25820         24.1826
           28042         28.4229
           28107         28.4751
           28108         28.4680
           28110         28.4808
           29033         28.4522
           29034         28.4574
           29035         28.4541
           29044         28.4564
           29045         28.4602
           29046         28.4658
           29050         28.4713
           29052         28.4878
           30848         35.3053
           31047         35.3417
           31048         35.3395
           32269         19.7374
           32991         24.1899
           32995         24.1940
           33005         24.1981
           33702     13.5456E-06
           33703              0.
           33704     14.7592E-06
           33916         24.1623
           33917         24.1496
           33950         24.1849
           33985         24.1731
           34005         24.1835
           34040         24.1791
           37880         19.7321
           37921         19.7436
           37922         19.7369
           37924         19.7547
           37925         19.7477
           38311         24.1772
           38726         19.7424
           38727         19.7374
           38728         19.7349
           38730         19.7364
           38740         19.7320
           38742         19.7401
           38748         19.7351
           38767         19.7329
           39003     42.5987E-06
           39004     37.7681E-06
           39356         35.4540
           42181         15.3235
           42192         15.3438
           42228         15.3468
           42229         15.3378
           42232         15.3537
           42661         15.3459
           43317         15.3453
           43375         15.3362
           43379         15.3594
           44100         33.1868
           44202         35.4748
           46364         35.5332
           47266         10.9223
