********************************************************************************
Field Output Report, written Wed Nov 11 14:23:53 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/80kPaNonLinear/80kPaNonLinear.odb
   Step: Step-Pressure
   Frame: Increment      8: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude
                          @Loc 1
---------------------------------
             143              0.
             144              0.
             145              0.
             146              0.
             147              0.
             148              0.
             149              0.
             150              0.
             151              0.
             152              0.
             153              0.
             154              0.
             155              0.
             156              0.
             157              0.
             158              0.
             159              0.
             160              0.
            1554              0.
            1555              0.
            1556              0.
            1557              0.
            1558              0.
            1559              0.
            1560              0.
            1561              0.
            1562              0.
            1563              0.
            1564              0.
            1565              0.
            1566              0.
            1567              0.
            1568              0.
            1569              0.
            1570              0.
            1571              0.
            1572              0.
            1573              0.
            1574              0.
            1575              0.
            1576              0.
            1577              0.
            1578              0.
            1579              0.
            1580              0.
            1581              0.
            1582              0.
            1583              0.
            1584              0.
            1585              0.
            1586              0.
            1587              0.
            1588              0.
            1589              0.
            1590              0.
            1591              0.
            1592              0.
            1593              0.
            1594              0.
            1595              0.
            1596              0.
            1597              0.
            1598              0.
            1599              0.
            1600              0.
            1601              0.
            1602              0.
            1603              0.
            1604              0.
            1605              0.
            1606              0.
            1607              0.
            1608              0.
            1609              0.
            1610              0.
            1611              0.
            1612              0.
            1613              0.
            1614              0.
            1615              0.
            1616              0.
            1617              0.
            1618              0.
            1619              0.
            1620              0.
            1621              0.
            1622              0.
            1623              0.
            1624              0.
            1625              0.
            1626              0.
            1627              0.
            1628              0.
            1629              0.
            1630              0.
            1631              0.
            5697              0.
            5698              0.
            5699              0.
            5700              0.
            5701              0.
            5702              0.
            5703              0.
            5704              0.
            5705              0.
            5706              0.
            5707              0.
            5708              0.
            5709              0.
            5710              0.
            5711              0.
            5712              0.
            5713              0.
            5714              0.
            5715              0.
            5716              0.
            5717              0.
            5718              0.
            5719              0.
            5720              0.
            5721              0.
            5722              0.
            5723              0.
            5724              0.
            5725              0.
            5726              0.
            5727              0.
            5728              0.
            5729              0.
            5730              0.
            5731              0.
            5732              0.
            5733              0.
            5734              0.
            5735              0.
            5736              0.
            5737              0.
            5738              0.
            5739              0.
            5740              0.
            5741              0.
            5742              0.
            5743              0.
            5744              0.
            5745              0.
            5746              0.
            5747              0.
            5748              0.
            5749              0.
            5750              0.
            5751              0.
            5752              0.
            5753              0.
            5754              0.
            5755              0.
            5756              0.
            5757              0.
            5758              0.
            5759              0.
            5760              0.
            5761              0.
            5762              0.
            5763              0.
            5764              0.
            5765              0.
            5766              0.
            5767              0.
            5768              0.
            5769              0.
            5770              0.
            5771              0.
            5772              0.
            5773              0.
            5774              0.
            5775              0.
            5776              0.
            5777              0.
            5778              0.
            5779              0.
            5780              0.
            5781              0.
            5782              0.
            5783              0.
            5784              0.
            5785              0.
            5786              0.
            5787              0.
            5788              0.
            5789              0.
            5790              0.
            5791              0.
            5792              0.
            5793              0.
            5794              0.
            5795              0.
            5796              0.
            5797              0.
            5798              0.
            5799              0.
            5800              0.
            5801              0.
            5802              0.
            5803              0.
            5804              0.
            5805              0.
            5806              0.
            5807              0.
            5808              0.
            5809              0.
            5810              0.
            5811              0.
            5812              0.
            5813              0.
            5814              0.
            5815              0.
            5816              0.
            5817              0.
            5818              0.
            5819              0.
            5820              0.
            5821              0.
            5822              0.
            5823              0.
            5824              0.
            5825              0.
            5826              0.
            5827              0.
            5828              0.
            5829              0.
            5830              0.
            5831              0.
            5832              0.
            5833              0.
            5834              0.
            5835              0.
            5836              0.
            5837              0.
            5838              0.
            5839              0.
            5840              0.
            5841              0.
            5842              0.
            5843              0.
            5844              0.
            5845              0.
            5846              0.
            5847              0.
            5848              0.
            5849              0.
            5850              0.
            5851              0.
            5852              0.
            5853              0.
            5854              0.
            5855              0.
            5856              0.
            5857              0.
            5858              0.
            5859              0.
            5860              0.
            5861              0.
            5862              0.
            5863              0.
            5864              0.
            5865              0.
            5866              0.
            5867              0.
            5868              0.
            5869              0.
            5870              0.
            5871              0.
            5872              0.
            5873              0.
            5874              0.
            5875              0.
            5876              0.
            5877              0.
            5878              0.
            5879              0.
            5880              0.
            5881              0.
            5882              0.
            5883              0.
            5884              0.
            5885              0.
            5886              0.
            5887              0.
            5888              0.
            5889              0.
            5890              0.
            5891              0.
            5892              0.
            5893              0.
            5894              0.
            5895              0.
            5896              0.
            5897              0.
            5898              0.
            5899              0.
            5900              0.
            5901              0.
            5902              0.
            5903              0.
            5904              0.
            5905              0.
            5906              0.
            5907              0.
            5908              0.
