********************************************************************************
Field Output Report, written Wed Nov 11 14:22:08 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/80kPaNonLinear/80kPaNonLinear.odb
   Step: Step-Pressure
   Frame: Increment      8: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude
                          @Loc 1
---------------------------------
             450         34.7396
             452         34.4874
             453         35.3290
             455         35.4911
             457         35.1978
             458         34.8935
             461         34.3848
             463         34.3397
             465         34.7054
             468         34.9674
             471         34.8935
             473         34.6221
             475         34.6650
             479         35.3123
             480         35.0736
            3373         34.7359
            3374         34.7083
            3375         34.6727
            3376         34.6503
            3377         34.6541
            3378         34.6819
            3379         34.7173
            3387         34.4802
            3388         34.4432
            3389         34.3980
            3390         34.3711
            3391         34.3784
            3392         34.4156
            3393         34.4607
            3394         35.3376
            3395         35.3385
            3396         35.3271
            3397         35.3142
            3398         35.3112
            3399         35.3157
            3400         35.3217
            3408         35.5036
            3409         35.5062
            3410         35.4941
            3411         35.4778
            3412         35.4711
            3413         35.4738
            3414         35.4803
            3422         35.0986
            3423         34.9952
            3426         34.7644
            3427         34.6365
            3428         34.5101
            3432         34.3127
            3434         34.4293
            3435         34.5199
            3436         34.6120
            3442         34.7838
            3443         34.8728
            3451         35.0810
            3452         35.1825
            3453         35.2639
            3454         35.3056
            3455         35.2958
            3456         35.2450
            3457         35.1738
            3462         34.8238
            3463         34.7551
            3464         34.6880
            3468         34.6053
            3482         35.3964
            3483         35.4702
            3484         35.5201
            3485         35.5339
            3486         35.4911
            3487         35.4126
            3488         35.3112
            3489         35.2361
            3490         35.1550
            3491         34.9692
            3492         34.8663
            3493         34.7650
            9062         34.7031
            9063         35.5158
            9064         35.5048
            9065         35.4568
            9066         35.3032
            9067         35.3438
            9068         35.3359
            9069         35.2889
            9070         35.4607
            9071         35.4676
            9072         35.3010
            9073         35.3139
            9074         34.7417
            9075         35.4741
            9076         34.4438
            9077         34.4842
            9078         34.7616
            9079         35.3265
            9080         35.4948
            9081         34.5343
            9082         34.5155
            9083         35.3142
            9084         35.4749
            9085         34.7798
            9086         35.3458
            9087         35.4601
            9088         34.7494
            9089         34.5545
            9090         34.5032
            9091         35.3112
            9092         34.7982
            9093         35.3188
            9094         35.2736
            9095         35.4443
            9096         35.4377
            9097         35.4662
            9098         35.3408
            9099         35.4607
            9100         34.5886
            9101         34.8225
            9102         35.3517
            9103         35.4556
            9104         35.4465
            9105         35.3410
            9106         35.4487
            9107         35.2842
            9108         35.4346
            9109         35.4285
            9110         35.2878
            9111         35.3217
            9112         35.2412
            9113         35.4722
            9114         35.4486
            9115         35.3541
            9116         35.3008
            9117         35.4077
            9118         35.4385
            9119         35.3287
            9120         35.3884
            9121         35.2918
            9122         35.2375
            9123         35.4342
            9124         35.3501
            9125         35.4241
            9126         35.4431
            9127         35.3292
            9128         35.4445
            9129         35.3523
            9130         35.4355
            9131         35.3621
            9132         35.3062
            9133         35.4196
            9134         35.3875
            9135         35.3417
            9136         35.3634
            9137         35.4399
            9138         35.4304
            9139         35.3423
            9140         35.4114
            9141         35.2591
            9142         35.4098
            9143         35.3635
            9144         35.4343
            9145         35.3661
            9146         35.3732
            9147         35.4273
            9148         35.3759
            9149         35.4046
            9150         35.3240
            9151         35.3595
            9152         35.4207
            9153         35.3619
            9154         35.3425
            9155         35.4028
            9156         35.2775
            9157         35.3841
            9158         35.3303
            9159         35.3798
            9160         35.4221
            9161         35.3833
            9162         35.3700
            9163         35.3801
            9164         35.3943
            9165         35.3480
            9166         35.3587
            9167         35.3098
            9168         35.3348
            9169         35.3575
            9170         35.3028
            9171         35.4008
            9172         35.3711
            9173         35.4119
            9174         35.3957
            9175         35.3874
            9176         35.2129
            9177         35.3568
            9178         35.4080
            9179         35.3356
            9180         35.3025
            9181         35.2897
            9182         35.2910
            9183         35.3159
            9184         35.2459
            9185         35.3349
            9186         35.1747
            9187         35.3755
            9188         35.2814
            9189         35.2391
            9190         35.2653
            9191         35.3191
            9192         35.3374
            9193         35.2659
            9194         35.3697
            9195         35.1687
            9196         35.3054
            9197         35.1304
            9198         35.3090
            9199         35.2386
            9200         35.2503
            9201         35.2960
            9202         35.2378
            9203         35.0784
            9204         35.2405
            9205         35.2068
            9206         35.2360
            9207         35.1718
            9208         35.2678
            9209         35.2052
            9210         35.2138
            9211         35.1633
            9212         35.1188
            9213         35.1687
            9214         35.2719
            9215         35.1862
            9216         35.3328
            9217         35.0229
            9218         35.2433
            9219         35.1776
            9220         35.3765
            9221         35.2427
            9222         35.1007
            9223         35.2082
