********************************************************************************
Field Output Report, written Wed Oct 28 16:02:05 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/PressureSteps/PressureJob.odb
   Step: Step-Pressure
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1          @Loc 1
---------------------------------------------------------------------------------
             447         11.4108    -130.031E-03         11.4095    -115.658E-03
             448         11.4814    -121.176E-03         11.4801    -128.602E-03
             449         11.4413    -114.920E-03         11.4399    -133.728E-03
             450         11.4412    -119.610E-03         11.4399    -125.115E-03
             451         11.2871    -134.511E-03         11.2856    -118.755E-03
             452         11.2873    -139.099E-03         11.2856    -138.522E-03
             453         11.5523    -129.372E-03         11.5508    -132.815E-03
             454         11.5522    -123.671E-03         11.5508    -132.730E-03
             455         11.5110    -128.987E-03         11.5096    -126.215E-03
             456         11.5110    -125.737E-03         11.5096    -126.334E-03
             457         11.4103    -133.226E-03         11.4087    -134.545E-03
             458         11.3431    -135.739E-03         11.3415    -135.407E-03
             459         11.3430    -132.224E-03         11.3416    -115.533E-03
             460         11.4101    -130.024E-03         11.4088    -115.502E-03
             461         11.2497    -140.135E-03         11.2480    -137.514E-03
             462         11.2496    -135.623E-03         11.2481    -117.703E-03
             463         11.2610    -140.242E-03         11.2593    -139.267E-03
             464         11.2608    -135.568E-03         11.2594    -119.461E-03
             465         11.3898    -137.241E-03         11.3881    -142.712E-03
             466         11.3896    -131.630E-03         11.3882    -122.901E-03
             467         11.4670    -128.962E-03         11.4656    -124.531E-03
             468         11.4671    -134.853E-03         11.4655    -143.511E-03
             469         11.5387    -119.922E-03         11.5372    -137.504E-03
             470         11.5386    -126.057E-03         11.5372    -129.850E-03
             471         11.5016    -123.311E-03         11.5002    -128.616E-03
             472         11.5017    -117.476E-03         11.5003    -137.222E-03
             473         11.4331    -118.460E-03         11.4318    -126.002E-03
             474         11.4332    -113.677E-03         11.4318    -134.658E-03
             475         11.4216    -118.334E-03         11.4203    -124.227E-03
             476         11.4217    -113.744E-03         11.4203    -132.878E-03
             477         11.4540    -118.194E-03         11.4527    -129.829E-03
             478         11.4807    -121.164E-03         11.4794    -128.430E-03
             479         11.4807    -124.348E-03         11.4793    -120.678E-03
             480         11.4540    -121.651E-03         11.4527    -121.128E-03
            3317         11.3823    -130.927E-03         11.3810    -115.417E-03
            3318         11.3564    -131.783E-03         11.3550    -115.519E-03
            3319         11.3351    -132.527E-03         11.3338    -115.931E-03
            3320         11.3203    -133.092E-03         11.3189    -116.637E-03
            3321         11.3131    -133.447E-03         11.3117    -117.576E-03
            3322         11.3140    -133.554E-03         11.3126    -118.627E-03
            3323         11.3229    -133.402E-03         11.3215    -119.722E-03
            3324         11.3393    -133.021E-03         11.3379    -120.777E-03
            3325         11.3621    -132.402E-03         11.3606    -121.795E-03
            3326         11.3897    -131.587E-03         11.3883    -122.733E-03
            3327         11.4201    -130.622E-03         11.4187    -123.518E-03
            3328         11.4509    -129.538E-03         11.4495    -124.136E-03
            3329         11.4796    -128.384E-03         11.4782    -124.568E-03
            3330         11.5038    -127.252E-03         11.5024    -124.984E-03
            3331         11.5208    -126.332E-03         11.5195    -125.481E-03
            3332         11.5301    -125.453E-03         11.5287    -125.926E-03
            3333         11.5323    -125.269E-03         11.5310    -126.380E-03
            3334         11.5300    -125.422E-03         11.5286    -126.178E-03
            3335         11.5236    -125.416E-03         11.5222    -125.342E-03
            3336         11.5148    -125.916E-03         11.5134    -123.549E-03
            3337         11.5026    -126.786E-03         11.5013    -121.436E-03
            3338         11.4864    -127.569E-03         11.4850    -119.326E-03
            3339         11.4653    -128.406E-03         11.4640    -117.615E-03
            3340         11.4394    -129.173E-03         11.4381    -116.343E-03
            3342         11.4930    -122.450E-03         11.4916    -128.256E-03
            3343         11.5030    -123.684E-03         11.5016    -128.017E-03
            3344         11.5103    -124.535E-03         11.5089    -127.579E-03
            3345         11.5156    -125.144E-03         11.5142    -127.203E-03
            3346         11.5208    -125.025E-03         11.5194    -126.972E-03
            3347         11.5267    -125.064E-03         11.5253    -127.342E-03
            3348         11.5338    -124.772E-03         11.5324    -128.702E-03
            3349         11.5419    -123.921E-03         11.5405    -130.564E-03
            3350         11.5486    -123.201E-03         11.5472    -132.895E-03
            3351         11.5520    -122.367E-03         11.5506    -134.771E-03
            3352         11.5500    -121.346E-03         11.5486    -136.225E-03
            3353         11.5427    -120.403E-03         11.5412    -137.092E-03
            3354         11.5310    -119.419E-03         11.5296    -137.461E-03
            3355         11.5167    -118.437E-03         11.5152    -137.430E-03
            3356         11.5009    -117.528E-03         11.4995    -137.074E-03
            3357         11.4854    -116.791E-03         11.4840    -136.448E-03
            3358         11.4714    -116.277E-03         11.4700    -135.568E-03
            3359         11.4600    -116.008E-03         11.4586    -134.504E-03
            3360         11.4519    -116.035E-03         11.4506    -133.408E-03
            3361         11.4478    -116.345E-03         11.4464    -132.333E-03
            3362         11.4478    -116.927E-03         11.4465    -131.343E-03
            3363         11.4519    -117.750E-03         11.4506    -130.417E-03
            3364         11.4596    -118.766E-03         11.4582    -129.631E-03
            3365         11.4698    -119.909E-03         11.4685    -129.032E-03
            3366         11.4369    -114.804E-03         11.4355    -133.345E-03
            3367         11.4313    -114.411E-03         11.4300    -133.194E-03
            3368         11.4278    -113.986E-03         11.4264    -133.364E-03
            3369         11.4283    -113.797E-03         11.4270    -133.755E-03
            3370         11.4328    -113.936E-03         11.4314    -134.136E-03
            3371         11.4384    -114.309E-03         11.4370    -134.287E-03
            3372         11.4419    -114.712E-03         11.4405    -134.121E-03
            3373         11.4368    -119.346E-03         11.4355    -124.712E-03
            3374         11.4312    -118.936E-03         11.4300    -124.547E-03
            3375         11.4277    -118.592E-03         11.4264    -124.700E-03
            3376         11.4283    -118.485E-03         11.4270    -125.081E-03
            3377         11.4327    -118.705E-03         11.4314    -125.470E-03
            3378         11.4383    -119.161E-03         11.4370    -125.639E-03
            3379         11.4418    -119.545E-03         11.4405    -125.487E-03
            3380         11.2803    -134.703E-03         11.2789    -118.346E-03
            3381         11.2689    -135.063E-03         11.2674    -118.134E-03
            3382         11.2594    -135.393E-03         11.2579    -118.239E-03
            3383         11.2574    -135.516E-03         11.2560    -118.597E-03
            3384         11.2642    -135.346E-03         11.2628    -119.001E-03
            3385         11.2757    -134.962E-03         11.2743    -119.217E-03
            3386         11.2852    -134.610E-03         11.2838    -119.114E-03
            3387         11.2805    -139.167E-03         11.2788    -138.136E-03
            3388         11.2690    -139.513E-03         11.2673    -137.937E-03
            3389         11.2595    -139.915E-03         11.2578    -138.057E-03
            3390         11.2576    -140.109E-03         11.2559    -138.423E-03
            3391         11.2644    -140.009E-03         11.2627    -138.819E-03
            3392         11.2759    -139.697E-03         11.2742    -139.016E-03
            3393         11.2854    -139.331E-03         11.2837    -138.897E-03
            3394         11.5487    -129.719E-03         11.5472    -133.273E-03
            3395         11.5451    -130.154E-03         11.5436    -135.073E-03
            3396         11.5428    -130.526E-03         11.5412    -137.082E-03
            3397         11.5438    -130.432E-03         11.5422    -138.232E-03
            3398         11.5484    -130.273E-03         11.5469    -137.789E-03
            3399         11.5531    -129.972E-03         11.5516    -136.019E-03
            3400         11.5544    -129.503E-03         11.5529    -134.067E-03
            3401         11.5486    -123.632E-03         11.5472    -131.574E-03
            3402         11.5450    -124.024E-03         11.5436    -129.324E-03
            3403         11.5426    -124.371E-03         11.5412    -127.460E-03
            3404         11.5435    -124.691E-03         11.5421    -127.104E-03
            3405         11.5482    -124.635E-03         11.5469    -128.469E-03
            3406         11.5529    -124.338E-03         11.5515    -130.333E-03
            3407         11.5543    -123.873E-03         11.5529    -131.984E-03
            3408         11.5084    -129.228E-03         11.5070    -126.801E-03
            3409         11.5052    -129.626E-03         11.5038    -128.523E-03
            3410         11.5026    -129.922E-03         11.5011    -130.380E-03
            3411         11.5028    -130.015E-03         11.5013    -131.746E-03
            3412         11.5065    -129.704E-03         11.5050    -131.317E-03
            3413         11.5108    -129.350E-03         11.5093    -129.469E-03
            3414         11.5123    -128.962E-03         11.5108    -127.337E-03
            3415         11.5084    -125.895E-03         11.5070    -124.966E-03
            3416         11.5052    -126.281E-03         11.5038    -123.026E-03
            3417         11.5025    -126.636E-03         11.5012    -121.157E-03
            3418         11.5027    -126.781E-03         11.5014    -120.458E-03
            3419         11.5063    -126.792E-03         11.5050    -121.661E-03
            3420         11.5107    -126.414E-03         11.5093    -123.962E-03
            3421         11.5122    -126.148E-03         11.5109    -125.943E-03
            3422         11.3860    -134.102E-03         11.3844    -134.811E-03
            3423         11.3632    -134.924E-03         11.3616    -135.065E-03
            3424         11.3630    -131.536E-03         11.3617    -115.293E-03
            3425         11.3858    -130.791E-03         11.3845    -115.283E-03
            3426         11.3193    -136.849E-03         11.3177    -135.909E-03
            3427         11.2958    -137.992E-03         11.2941    -136.420E-03
            3428         11.2726    -139.108E-03         11.2709    -136.955E-03
            3429         11.2724    -134.774E-03         11.2710    -117.144E-03
            3430         11.2956    -133.922E-03         11.2942    -116.551E-03
            3431         11.3191    -133.074E-03         11.3177    -116.003E-03
            3432         11.2428    -140.613E-03         11.2410    -138.360E-03
            3433         11.2426    -136.020E-03         11.2411    -118.518E-03
            3434         11.2928    -139.427E-03         11.2911    -140.100E-03
            3435         11.3248    -138.676E-03         11.3231    -140.951E-03
            3436         11.3572    -137.986E-03         11.3555    -141.834E-03
            3437         11.3570    -132.619E-03         11.3556    -121.960E-03
            3438         11.3246    -133.599E-03         11.3232    -121.093E-03
            3439         11.2926    -134.580E-03         11.2911    -120.288E-03
            3440         11.4416    -129.927E-03         11.4402    -124.120E-03
            3441         11.4153    -130.820E-03         11.4139    -123.570E-03
            3442         11.4155    -136.548E-03         11.4138    -143.260E-03
            3443         11.4418    -135.736E-03         11.4401    -143.542E-03
            3444         11.5499    -120.935E-03         11.5485    -137.018E-03
            3445         11.5590    -122.098E-03         11.5576    -136.067E-03
            3446         11.5629    -122.840E-03         11.5615    -134.069E-03
            3447         11.5594    -124.144E-03         11.5580    -131.341E-03
            3448         11.5449    -125.134E-03         11.5435    -128.242E-03
            3449         11.5231    -126.607E-03         11.5217    -126.277E-03
            3450         11.4961    -127.760E-03         11.4948    -125.129E-03
            3451         11.4963    -133.743E-03         11.4947    -143.046E-03
            3452         11.5229    -132.632E-03         11.5213    -141.979E-03
            3453         11.5452    -131.203E-03         11.5436    -140.173E-03
            3454         11.5594    -130.420E-03         11.5579    -136.939E-03
            3455         11.5632    -129.082E-03         11.5617    -133.636E-03
            3456         11.5587    -128.318E-03         11.5572    -131.691E-03
            3457         11.5500    -127.233E-03         11.5485    -130.503E-03
            3458         11.5150    -118.242E-03         11.5136    -137.540E-03
            3459         11.5276    -119.075E-03         11.5262    -137.634E-03
            3460         11.5276    -125.101E-03         11.5262    -129.496E-03
            3461         11.5150    -124.198E-03         11.5136    -129.088E-03
            3462         11.4840    -122.118E-03         11.4827    -127.967E-03
            3463         11.4667    -120.844E-03         11.4654    -127.340E-03
            3464         11.4498    -119.614E-03         11.4484    -126.679E-03
            3465         11.4498    -114.636E-03         11.4484    -135.336E-03
            3466         11.4668    -115.578E-03         11.4654    -136.037E-03
            3467         11.4841    -116.534E-03         11.4827    -136.672E-03
            3468         11.4218    -117.926E-03         11.4205    -125.082E-03
            3469         11.4218    -113.238E-03         11.4205    -133.774E-03
            3470         11.4292    -114.847E-03         11.4279    -132.148E-03
            3471         11.4371    -115.952E-03         11.4357    -131.446E-03
            3472         11.4454    -117.075E-03         11.4440    -130.675E-03
            3473         11.4617    -119.106E-03         11.4603    -129.217E-03
            3474         11.4708    -120.088E-03         11.4694    -128.758E-03
            3475         11.4922    -122.523E-03         11.4909    -127.909E-03
            3476         11.5013    -123.986E-03         11.4999    -126.948E-03
            3477         11.5060    -125.216E-03         11.5046    -125.070E-03
            3478         11.5026    -126.551E-03         11.5013    -122.090E-03
            3479         11.4886    -127.325E-03         11.4873    -119.029E-03
            3480         11.4663    -128.318E-03         11.4650    -117.125E-03
            3481         11.4393    -129.121E-03         11.4380    -116.102E-03
