********************************************************************************
Field Output Report, written Wed Nov  4 12:01:04 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/RotationalRobot/80kPaNoInt.odb
   Step: Pressure-Load
   Frame: Increment     11: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLANARROBOT

      Node Label     U.Magnitude            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1          @Loc 1
---------------------------------------------------------------------------------
             137     847.186E-06    -444.494E-06    -701.645E-06     166.863E-06
             139     1.17740E-03     21.2539E-06     1.09920E-03     421.403E-06
             140     2.83518E-03    -93.2905E-06    -2.70747E-03    -836.161E-06
             141     569.833E-06     78.8979E-06    -44.6414E-06     562.576E-06
             142     706.516E-06     426.278E-06    -549.864E-06    -122.890E-06
             143              0.    -653.353E-42     307.839E-42              0.
             144              0.     394.393E-42    -532.597E-42              0.
             145              0.    -155.516E-42     34.2744E-42              0.
             146              0.     80.0282E-42     1.50007E-39              0.
             147              0.     38.9645E-42     124.477E-42             -0.
             148              0.    -33.6157E-42     77.9837E-42             -0.
             149              0.    -120.416E-42     751.905E-42              0.
             150              0.     42.1651E-42     3.44439E-42              0.
             151              0.     50.4299E-42     322.901E-42             -0.
             152              0.     41.3453E-42     901.291E-42             -0.
             153              0.    -20.5542E-42     66.0950E-42              0.
             154              0.     25.9156E-42     40.3266E-42             -0.
             155              0.     22.9224E-42     1.12374E-39             -0.
             156              0.    -24.5255E-42     221.552E-42             -0.
             157              0.    -8.63620E-42    -22.6478E-42              0.
             158              0.     26.7536E-42    -24.3223E-42              0.
             159              0.     7.04152E-42     68.0162E-42             -0.
             160              0.    -16.7413E-42     134.520E-42             -0.
             161     21.2499E-06     546.667E-09     1.79700E-06    -21.1667E-06
             162     10.1719E-06    -9.01001E-06     1.59330E-06     4.44389E-06
             163     9.83340E-06     8.85797E-06     1.68811E-06     3.92205E-06
             164     12.3455E-06    -116.503E-09     1.00148E-06     12.3042E-06
             165     14.3947E-06    -46.8664E-09     911.295E-09     14.3658E-06
             166     13.2951E-06     11.9076E-06     4.02401E-06    -4.33324E-06
             167     42.3636E-06     35.7720E-06     9.81434E-06     20.4626E-06
             168     4.21001E-06     824.279E-09     545.219E-09     4.09237E-06
             169     4.52829E-06    -1.09413E-06     184.205E-09     4.39026E-06
             170     37.0883E-06    -30.0913E-06     11.9498E-06     18.0903E-06
             171     13.4221E-06    -12.2925E-06     3.02528E-06    -4.46053E-06
             172     17.7456E-06     1.90157E-06    -1.88289E-06     17.5426E-06
             173     62.7557E-06    -56.9338E-06     15.1064E-06    -21.6475E-06
             174     7.31907E-06    -1.44244E-06     941.470E-09    -7.11349E-06
             175     6.96021E-06     1.22691E-06     485.849E-09    -6.83397E-06
             176     45.4356E-06     40.3781E-06     13.1632E-06    -16.1471E-06
             177     15.6403E-06     2.33843E-06    -1.11231E-06     15.4244E-06
             178     12.0686E-06    -11.4946E-06     1.56369E-06    -3.32886E-06
             179     17.6973E-06    -17.5045E-06    -2.18549E-06    -1.41815E-06
             180     25.2905E-06     4.06731E-06     1.40463E-06     24.9217E-06
             181     421.025E-06     48.1829E-06     57.5320E-06     414.283E-06
             182     414.509E-06    -83.7544E-06     39.1724E-06     404.065E-06
             183     378.041E-06     313.594E-06    -26.3074E-06    -209.478E-06
             184     391.993E-06    -379.473E-06    -98.0904E-06     6.09029E-06
            1503     1.55838E-03    -201.688E-06     499.511E-06     1.46232E-03
            1504     1.46465E-03    -389.612E-06     1.28241E-03     590.605E-06
            1508     1.27357E-03    -381.071E-06    -797.634E-06     916.819E-06
            1511     2.70473E-03    -398.179E-06    -2.64975E-03    -368.546E-06
            1515     2.81738E-03    -536.753E-06     2.74226E-03    -359.948E-06
            1516     4.23352E-03    -187.475E-06     4.09065E-03    -1.07432E-03
            1517     1.94465E-03     1.00974E-03     1.63016E-03     323.532E-06
            1520     1.43784E-03     454.424E-06     1.15793E-03     721.156E-06
            1522     1.40226E-03     271.994E-06     570.003E-06     1.25198E-03
            1523     1.32921E-03    -140.564E-09     149.013E-06     1.32083E-03
            1524     1.21775E-03    -187.638E-06    -197.328E-06     1.18691E-03
            1525     1.09940E-03    -142.949E-06    -926.797E-06     573.839E-06
            1526     1.04651E-03     23.5080E-06    -926.092E-06     486.809E-06
            1527     1.17797E-03     326.900E-06    -892.381E-06     695.996E-06
            1528     1.21857E-03     317.267E-06    -246.734E-06     1.15038E-03
            1529     1.51193E-03    -403.922E-06     745.034E-06     1.25208E-03
            1530     1.37434E-03    -442.720E-06     1.07502E-03     732.895E-06
            1531     2.34320E-03     119.059E-06    -2.27237E-03    -559.212E-06
            1532     423.351E-06    -250.265E-06     85.2696E-06    -330.640E-06
            1533     1.34188E-03    -294.839E-06     1.27248E-03    -307.417E-06
            1534     2.27117E-03    -677.484E-06     2.07469E-03    -628.377E-06
            1535     3.52054E-03    -323.598E-06     3.31879E-03    -1.12919E-03
            1536     3.81223E-03     232.214E-06     3.73377E-03    -733.614E-06
            1537     2.74912E-03     402.619E-06     2.71819E-03     83.8527E-06
            1538     478.362E-06     428.257E-06     211.677E-06     24.8755E-06
            1539     2.12593E-03    -168.256E-06    -2.07819E-03    -415.228E-06
            1540     585.384E-06     67.8080E-06    -196.878E-06     547.098E-06
            1541     534.210E-06     40.9278E-06    -197.364E-06     494.725E-06
            1542     559.661E-06    -5.74485E-06    -150.747E-06     538.946E-06
            1543     563.534E-06    -126.318E-06    -65.2489E-09     549.195E-06
            1544     497.702E-06    -143.829E-06     138.513E-06     455.889E-06
            1545     566.186E-06    -3.90355E-06     171.380E-06     539.611E-06
            1546     482.530E-06     125.733E-06     118.913E-06     450.428E-06
            1547     532.097E-06     18.6487E-06    -498.913E-06    -184.027E-06
            1548     452.988E-06     54.0964E-06    -401.322E-06    -203.008E-06
            1549     519.355E-06    -31.2139E-06    -449.136E-06    -258.906E-06
            1550     484.018E-06    -167.482E-06    -418.724E-06    -175.765E-06
            1551     451.243E-06    -184.120E-06    -268.153E-06    -312.753E-06
            1552     679.182E-06    -53.8404E-06    -497.190E-06    -459.556E-06
            1553     627.778E-06     179.570E-06    -562.586E-06    -212.969E-06
            1554              0.     349.702E-42     1.19816E-39             -0.
            1555              0.     279.481E-42     3.22306E-39             -0.
            1556              0.     581.267E-42     1.02782E-39             -0.
            1557              0.     947.871E-42    -222.917E-42              0.
            1558              0.     316.332E-42    -2.19579E-39             -0.
            1559              0.    -587.661E-42    -2.45688E-39              0.
            1560              0.    -1.33304E-39    -1.34138E-39             -0.
            1561              0.    -3.93254E-39     6.55993E-39              0.
            1562              0.     5.57922E-39     2.00891E-39             -0.
            1563              0.    -3.34382E-39    -3.70351E-39             -0.
            1564              0.    -120.737E-42    -5.48453E-39              0.
            1565              0.     212.613E-42     1.91005E-39              0.
            1566              0.     1.14675E-39    -4.21481E-39              0.
            1567              0.     1.25984E-39     468.855E-42              0.
            1568              0.    -40.5256E-42     448.596E-42              0.
            1569              0.    -89.3622E-42     826.882E-42              0.
            1570              0.     284.661E-42     1.98404E-39              0.
            1571              0.    -92.4254E-42     1.04326E-39             -0.
            1572              0.    -2.17061E-42     326.028E-42             -0.
            1573              0.    -7.34000E-42     102.171E-42              0.
            1574              0.    -99.9560E-42     273.026E-42             -0.
            1575              0.    -60.5978E-42     1.02607E-39             -0.
            1576              0.    -277.820E-42     1.48706E-39              0.
            1577              0.    -107.538E-42     516.032E-42              0.
            1578              0.     30.1293E-42     285.459E-42              0.
            1579              0.     97.9578E-42    -465.998E-42              0.
            1580              0.     23.5530E-42    -455.524E-42             -0.
            1581              0.     39.4844E-42    -433.084E-42              0.
            1582              0.    -2.67788E-42    -186.604E-42             -0.
            1583              0.    -18.4285E-42    -132.243E-42              0.
            1584              0.    -2.30794E-42    -172.926E-42              0.
            1585              0.     5.06990E-42    -49.8204E-42             -0.
            1586              0.    -20.7350E-42     438.672E-42             -0.
            1587              0.    -81.6284E-42     569.172E-42             -0.
            1588              0.    -73.0006E-42     1.10834E-39             -0.
            1589              0.    -89.8989E-42     362.715E-42             -0.
            1590              0.    -3.60134E-42     183.496E-42             -0.
            1591              0.     7.13541E-42     61.6852E-42             -0.
            1592              0.     56.5354E-42     290.158E-42              0.
            1593              0.     40.7568E-42     581.728E-42              0.
            1594              0.     198.771E-42     836.243E-42             -0.
            1595              0.    -2.71432E-42     592.452E-42             -0.
            1596              0.     28.4618E-42     446.689E-42             -0.
            1597              0.    -15.0499E-42    -38.7627E-42             -0.
            1598              0.    -54.0145E-42    -141.273E-42             -0.
            1599              0.    -6.08304E-42    -159.358E-42             -0.
            1600              0.     8.66283E-42    -235.718E-42             -0.
            1601              0.     19.5453E-42    -373.620E-42             -0.
            1602              0.    -79.4466E-42    -758.754E-42             -0.
            1603              0.    -93.0574E-42    -817.009E-42              0.
            1604              0.     284.464E-45     19.4640E-42              0.
            1605              0.     15.5110E-42     38.8188E-42              0.
            1606              0.     6.16992E-42     23.6357E-42             -0.
            1607              0.    -57.5920E-42    -143.529E-42             -0.
            1608              0.    -27.2006E-42    -241.674E-42              0.
            1609              0.    -32.8829E-42    -124.828E-42              0.
            1610              0.    -26.5126E-42    -71.2182E-42              0.
            1611              0.     42.6948E-42    -113.287E-42              0.
            1612              0.     35.2300E-42    -123.702E-42             -0.
            1613              0.     12.2880E-42    -302.961E-42             -0.
            1614              0.     13.0209E-42    -109.866E-42             -0.
            1615              0.    -2.62603E-42     22.5833E-42             -0.
            1616              0.    -19.7177E-42     43.9755E-42             -0.
            1617              0.    -4.54301E-42     17.4265E-42              0.
            1618              0.     9.56947E-42     40.6699E-42              0.
            1619              0.    -4.21370E-42    -5.75794E-42              0.
            1620              0.    -1.02715E-42    -7.46191E-42             -0.
            1621              0.     899.634E-45    -8.03364E-42             -0.
            1622              0.     6.23858E-42    -23.2924E-42             -0.
            1623              0.     9.93661E-42    -4.68314E-42              0.
            1624              0.     1.75583E-42     23.8025E-42              0.
            1625              0.    -7.24051E-42     44.6468E-42             -0.
            1626              0.    -7.56141E-42    -16.9543E-42             -0.
            1627              0.    -6.53566E-42    -33.1617E-42              0.
            1628              0.    -1.60449E-42    -13.0069E-42              0.
            1629              0.     1.96042E-42    -13.2647E-42              0.
            1630              0.     11.7163E-42    -5.99616E-42             -0.
            1631              0.     306.884E-45     47.8698E-42             -0.
            1632     14.2698E-06     1.00322E-06     177.463E-09    -14.2334E-06
            1633     7.74457E-06     2.65153E-06    -924.553E-09    -7.21755E-06
            1634     4.74956E-06     1.32164E-06    -1.46230E-06    -4.32126E-06
            1635     3.74632E-06    -60.5482E-09    -1.09391E-06    -3.58254E-06
            1636     5.01345E-06    -1.13767E-06    -1.55284E-06    -4.62915E-06
            1637     8.17926E-06    -2.13530E-06    -1.65196E-06    -7.72087E-06
            1638     14.6079E-06    -155.337E-09     75.7264E-09    -14.6069E-06
            1639     5.85993E-06    -5.32688E-06     2.06691E-06     1.30041E-06
            1640     6.85717E-06    -6.10720E-06     2.79966E-06    -1.37290E-06
            1641     11.7082E-06    -9.87561E-06     3.50828E-06    -5.21986E-06
            1642     22.9280E-06    -17.5434E-06     687.173E-09    -14.7461E-06
            1643     33.4266E-06    -25.8929E-06    -487.442E-09    -21.1342E-06
            1644     23.0227E-06    -21.2254E-06     486.086E-09    -8.90455E-06
            1645     15.0915E-06    -14.7418E-06     1.97758E-06     2.55368E-06
            1646     15.3124E-06     15.0250E-06     2.40965E-06     1.70668E-06
            1647     24.0894E-06     21.7169E-06     537.547E-09    -10.4110E-06
            1648     36.1965E-06     27.2619E-06    -418.625E-09    -23.8075E-06
            1649     25.1994E-06     18.4076E-06     434.270E-09    -17.2041E-06
            1650     12.8314E-06     10.6824E-06     3.79355E-06    -6.01175E-06
            1651     7.35646E-06     6.55576E-06     2.81749E-06    -1.78922E-06
            1652     5.92949E-06     5.41297E-06     2.19221E-06     1.02608E-06
            1653     8.58822E-06     231.591E-09     126.317E-09     8.58417E-06
            1654     4.73914E-06     1.23010E-06    -949.223E-09     4.47720E-06
            1655     2.89544E-06     642.816E-09    -895.672E-09     2.67733E-06
            1656     2.28199E-06    -39.8838E-09    -663.781E-09     2.18296E-06
            1657     3.09666E-06    -890.367E-09    -878.953E-09     2.83267E-06
